Event ID   , Event time          , Desc ID   ,                                             Description, Object ID , Details
234        , 400120913.116304    , 76        ,       The causal link is in the process of being added., 0         , (667;259)
235        , 400120913.147543    , 76        ,       The causal link is in the process of being added., 0         , (667;258)
236        , 400120913.179562    , 76        ,       The causal link is in the process of being added., 0         , (667;257)
237        , 400120913.307839    , 76        ,       The causal link is in the process of being added., 0         , (668;257)
238        , 400120913.323503    , 76        ,       The causal link is in the process of being added., 0         , (669;255)
239        , 400120913.339556    , 76        ,       The causal link is in the process of being added., 0         , (672;251)
240        , 400120913.356017    , 76        ,       The causal link is in the process of being added., 0         , (675;246)
241        , 400120913.371183    , 76        ,       The causal link is in the process of being added., 0         , (679;240)
242        , 400120913.387185    , 76        ,       The causal link is in the process of being added., 0         , (682;235)
243        , 400120913.403531    , 76        ,       The causal link is in the process of being added., 0         , (686;231)
244        , 400120913.419474    , 76        ,       The causal link is in the process of being added., 0         , (688;226)
245        , 400120913.435543    , 76        ,       The causal link is in the process of being added., 0         , (691;223)
246        , 400120913.452203    , 76        ,       The causal link is in the process of being added., 0         , (693;221)
247        , 400120913.468194    , 76        ,       The causal link is in the process of being added., 0         , (694;220)
248        , 400120913.483891    , 76        ,       The causal link is in the process of being added., 0         , (694;219)
249        , 400120913.547743    , 76        ,       The causal link is in the process of being added., 0         , (693;220)
250        , 400120913.563207    , 76        ,       The causal link is in the process of being added., 0         , (692;221)
251        , 400120913.579364    , 76        ,       The causal link is in the process of being added., 0         , (691;221)
252        , 400120913.595825    , 76        ,       The causal link is in the process of being added., 0         , (691;222)
253        , 400120913.611356    , 76        ,       The causal link is in the process of being added., 0         , (691;223)
254        , 400120913.627347    , 76        ,       The causal link is in the process of being added., 0         , (690;224)
255        , 400120913.643822    , 76        ,       The causal link is in the process of being added., 0         , (690;225)
256        , 400120913.659337    , 76        ,       The causal link is in the process of being added., 0         , (689;225)
257        , 400120913.675373    , 76        ,       The causal link is in the process of being added., 0         , (689;226)
258        , 400120913.803011    , 76        ,       The causal link is in the process of being added., 0         , (689;227)
259        , 400120913.819002    , 76        ,       The causal link is in the process of being added., 0         , (689;228)
260        , 400120913.8356      , 76        ,       The causal link is in the process of being added., 0         , (689;231)
261        , 400120913.851763    , 76        ,       The causal link is in the process of being added., 0         , (689;234)
262        , 400120913.867742    , 76        ,       The causal link is in the process of being added., 0         , (689;242)
263        , 400120913.884332    , 76        ,       The causal link is in the process of being added., 0         , (689;253)
264        , 400120913.899715    , 76        ,       The causal link is in the process of being added., 0         , (689;266)
265        , 400120913.915737    , 76        ,       The causal link is in the process of being added., 0         , (689;276)
266        , 400120913.931909    , 76        ,       The causal link is in the process of being added., 0         , (688;282)
267        , 400120913.947187    , 76        ,       The causal link is in the process of being added., 0         , (688;285)
268        , 400120913.963206    , 76        ,       The causal link is in the process of being added., 0         , (688;288)
269        , 400120913.979874    , 76        ,       The causal link is in the process of being added., 0         , (688;289)
270        , 400120914.107348    , 76        ,       The causal link is in the process of being added., 0         , (687;289)
271        , 400120914.123804    , 78        ,                User cancelled adding a new causal link., 0         , 
272        , 400120914.589241    , 79        ,                           User began moving a variable., 2         , (410;231)
273        , 400120914.84017     , 75        ,              User has begun creating a new causal link., 0         , (410;231)
274        , 400120915.146924    , 76        ,       The causal link is in the process of being added., 0         , (413;238)
275        , 400120915.147368    , 76        ,       The causal link is in the process of being added., 0         , (413;238)
276        , 400120915.162644    , 76        ,       The causal link is in the process of being added., 0         , (414;244)
277        , 400120915.179397    , 76        ,       The causal link is in the process of being added., 0         , (418;252)
278        , 400120915.194843    , 76        ,       The causal link is in the process of being added., 0         , (424;260)
279        , 400120915.210932    , 76        ,       The causal link is in the process of being added., 0         , (431;267)
280        , 400120915.227252    , 76        ,       The causal link is in the process of being added., 0         , (438;274)
281        , 400120915.242837    , 76        ,       The causal link is in the process of being added., 0         , (448;279)
282        , 400120915.258829    , 76        ,       The causal link is in the process of being added., 0         , (457;284)
283        , 400120915.275255    , 76        ,       The causal link is in the process of being added., 0         , (466;288)
284        , 400120915.290798    , 76        ,       The causal link is in the process of being added., 0         , (478;291)
285        , 400120915.306798    , 76        ,       The causal link is in the process of being added., 0         , (497;295)
286        , 400120915.323239    , 76        ,       The causal link is in the process of being added., 0         , (510;296)
287        , 400120915.339056    , 76        ,       The causal link is in the process of being added., 0         , (522;296)
288        , 400120915.354378    , 76        ,       The causal link is in the process of being added., 0         , (534;296)
289        , 400120915.370952    , 76        ,       The causal link is in the process of being added., 0         , (544;292)
290        , 400120915.386506    , 76        ,       The causal link is in the process of being added., 0         , (554;288)
291        , 400120915.402801    , 76        ,       The causal link is in the process of being added., 0         , (567;282)
292        , 400120915.419161    , 76        ,       The causal link is in the process of being added., 0         , (579;277)
293        , 400120915.435336    , 76        ,       The causal link is in the process of being added., 0         , (594;270)
294        , 400120915.451576    , 76        ,       The causal link is in the process of being added., 0         , (604;266)
295        , 400120915.467723    , 76        ,       The causal link is in the process of being added., 0         , (616;261)
296        , 400120915.483111    , 76        ,       The causal link is in the process of being added., 0         , (627;257)
297        , 400120915.499135    , 76        ,       The causal link is in the process of being added., 0         , (637;253)
298        , 400120915.515617    , 76        ,       The causal link is in the process of being added., 0         , (646;249)
299        , 400120915.530606    , 76        ,       The causal link is in the process of being added., 0         , (655;245)
300        , 400120915.546796    , 76        ,       The causal link is in the process of being added., 0         , (664;241)
301        , 400120915.563187    , 76        ,       The causal link is in the process of being added., 0         , (672;236)
302        , 400120915.579157    , 76        ,       The causal link is in the process of being added., 0         , (678;232)
303        , 400120915.59474     , 76        ,       The causal link is in the process of being added., 0         , (683;228)
304        , 400120915.611155    , 76        ,       The causal link is in the process of being added., 0         , (688;225)
305        , 400120915.626679    , 76        ,       The causal link is in the process of being added., 0         , (692;221)
306        , 400120915.642667    , 76        ,       The causal link is in the process of being added., 0         , (696;220)
307        , 400120915.659153    , 76        ,       The causal link is in the process of being added., 0         , (698;218)
308        , 400120915.674687    , 76        ,       The causal link is in the process of being added., 0         , (700;217)
309        , 400120915.69081     , 76        ,       The causal link is in the process of being added., 0         , (701;217)
310        , 400120915.738596    , 76        ,       The causal link is in the process of being added., 0         , (700;217)
311        , 400120915.754817    , 77        ,                                      Causal link added., 7         , Parent: Var1 (2) Child: Var2 (3) | 
312        , 400120916.172788    , 15        ,                        User began moving a causal link., 7         , (571;218)
313        , 400120916.250789    , 16        ,                           User is moving a causal link., 7         , (571;222)
314        , 400120916.267331    , 16        ,                           User is moving a causal link., 7         , (571;227)
315        , 400120916.283886    , 16        ,                           User is moving a causal link., 7         , (572;232)
316        , 400120916.299385    , 16        ,                           User is moving a causal link., 7         , (572;237)
317        , 400120916.315437    , 16        ,                           User is moving a causal link., 7         , (572;241)
318        , 400120916.331143    , 16        ,                           User is moving a causal link., 7         , (573;246)
319        , 400120916.346477    , 16        ,                           User is moving a causal link., 7         , (573;251)
320        , 400120916.362523    , 16        ,                           User is moving a causal link., 7         , (573;256)
321        , 400120916.379055    , 16        ,                           User is moving a causal link., 7         , (574;260)
322        , 400120916.394566    , 16        ,                           User is moving a causal link., 7         , (574;265)
323        , 400120916.410481    , 16        ,                           User is moving a causal link., 7         , (574;270)
324        , 400120916.42699     , 16        ,                           User is moving a causal link., 7         , (575;275)
325        , 400120916.442507    , 16        ,                           User is moving a causal link., 7         , (575;279)
326        , 400120916.458494    , 16        ,                           User is moving a causal link., 7         , (575;284)
327        , 400120916.475052    , 16        ,                           User is moving a causal link., 7         , (576;289)
328        , 400120916.490567    , 16        ,                           User is moving a causal link., 7         , (576;294)
329        , 400120916.506829    , 16        ,                           User is moving a causal link., 7         , (576;298)
330        , 400120916.523037    , 16        ,                           User is moving a causal link., 7         , (577;303)
331        , 400120916.538597    , 16        ,                           User is moving a causal link., 7         , (577;308)
332        , 400120916.554016    , 16        ,                           User is moving a causal link., 7         , (577;313)
333        , 400120916.570303    , 16        ,                           User is moving a causal link., 7         , (578;317)
334        , 400120916.586335    , 16        ,                           User is moving a causal link., 7         , (578;322)
335        , 400120916.602335    , 16        ,                           User is moving a causal link., 7         , (578;327)
336        , 400120916.619215    , 16        ,                           User is moving a causal link., 7         , (579;332)
337        , 400120916.635487    , 16        ,                           User is moving a causal link., 7         , (579;336)
338        , 400120916.666698    , 17        ,                      User stopped moving a causal link., 7         , (579;336)
339        , 400120916.844108    , 15        ,                        User began moving a causal link., 7         , (579;336)
340        , 400120916.930171    , 58        ,                                  Update menu displayed., 7         , Causal link
341        , 400120917.586529    , 60        ,                                    Edit menu displayed., 7         , Causal link
342        , 400120917.816698    , 59        ,                                     Update menu closed., 7         , Causal link
343        , 400120918.301349    , 13        ,       User selected a new option for the link polarity., 7         , - selected
344        , 400120918.908606    , 11        ,     User selected a new option for the link time delay., 7         , Yes
345        , 400120920.732069    , 12        ,      User selected a new option for the link thickness., 7         , Bold selected
346        , 400120922.251557    , 14        ,          User selected a new option for the link color., 7         , Orange selected
347        , 400120922.792428    , 8         ,             User changed the polarity of a causal link., 7         , From: + To: -
348        , 400120922.792529    , 9         ,            User changed the thickness of a causal link., 7         , From: Normal To: Bold
349        , 400120922.792603    , 10        ,           User changed the time delay of a causal link., 7         , From: No To: Yes
350        , 400120922.792742    , 7         ,                User changed the color of a causal link., 7         , From: Black To: Orange
351        , 400120922.792839    , 61        ,            Edit menu closed because user saved changes., 7         , Causal link
352        , 400120925.796079    , 68        ,      User selected a new option for adding new objects., 0         , Loop option selected
353        , 400120928.090314    , 33        ,                                             Loop added., 8         , 
354        , 400120928.666648    , 25        ,                               User began moving a loop., 8         , (593;248)
355        , 400120928.71942     , 58        ,                                  Update menu displayed., 8         , Loop
356        , 400120930.120232    , 60        ,                                    Edit menu displayed., 8         , Loop
357        , 400120930.33685     , 59        ,                                     Update menu closed., 8         , Loop
358        , 400120930.987004    , 24        ,         User selected a new option for the loop symbol., 8         , Counter clockwise selected
359        , 400120931.44081     , 19        ,                                        Keyboard opened., 8         , Edit Loop name
360        , 400120934.743507    , 23        ,                           User changed the loop symbol., 8         , From: Clockwise To: Counter Clockwise
361        , 400120934.743914    , 22        ,                        User changed the name of a loop., 8         , From: TXT To: B1
362        , 400120934.744097    , 61        ,            Edit menu closed because user saved changes., 8         , Loop
363        , 400120935.108892    , 20        ,                                        Keyboard closed., 8         , Edit Loop name
364        , 400120935.609514    , 25        ,                               User began moving a loop., 8         , (595;241)
365        , 400120935.718879    , 26        ,                                  User is moving a loop., 8         , (580;231)
366        , 400120935.734983    , 26        ,                                  User is moving a loop., 8         , (567;222)
367        , 400120935.751664    , 26        ,                                  User is moving a loop., 8         , (560;215)
368        , 400120935.767654    , 26        ,                                  User is moving a loop., 8         , (555;211)
369        , 400120935.782653    , 26        ,                                  User is moving a loop., 8         , (552;208)
370        , 400120935.799122    , 26        ,                                  User is moving a loop., 8         , (551;208)
371        , 400120935.814226    , 26        ,                                  User is moving a loop., 8         , (550;208)
372        , 400120935.894988    , 26        ,                                  User is moving a loop., 8         , (550;209)
373        , 400120935.926351    , 26        ,                                  User is moving a loop., 8         , (550;210)
374        , 400120935.942923    , 26        ,                                  User is moving a loop., 8         , (550;211)
375        , 400120935.958259    , 26        ,                                  User is moving a loop., 8         , (551;212)
376        , 400120935.974329    , 26        ,                                  User is moving a loop., 8         , (552;213)
377        , 400120935.990779    , 26        ,                                  User is moving a loop., 8         , (553;215)
378        , 400120936.005754    , 26        ,                                  User is moving a loop., 8         , (554;217)
379        , 400120936.022405    , 26        ,                                  User is moving a loop., 8         , (555;218)
380        , 400120936.039067    , 26        ,                                  User is moving a loop., 8         , (556;221)
381        , 400120936.054193    , 26        ,                                  User is moving a loop., 8         , (558;222)
382        , 400120936.070172    , 26        ,                                  User is moving a loop., 8         , (560;224)
383        , 400120936.086647    , 26        ,                                  User is moving a loop., 8         , (560;225)
384        , 400120936.10221     , 26        ,                                  User is moving a loop., 8         , (562;226)
385        , 400120936.118177    , 26        ,                                  User is moving a loop., 8         , (563;226)
386        , 400120936.134678    , 26        ,                                  User is moving a loop., 8         , (564;226)
387        , 400120936.150455    , 26        ,                                  User is moving a loop., 8         , (565;226)
388        , 400120936.166494    , 26        ,                                  User is moving a loop., 8         , (565;227)
389        , 400120936.182867    , 26        ,                                  User is moving a loop., 8         , (566;227)
390        , 400120936.198206    , 26        ,                                  User is moving a loop., 8         , (568;227)
391        , 400120936.214233    , 26        ,                                  User is moving a loop., 8         , (569;227)
392        , 400120936.246203    , 26        ,                                  User is moving a loop., 8         , (569;226)
393        , 400120936.326401    , 26        ,                                  User is moving a loop., 8         , (568;226)
394        , 400120936.341756    , 27        ,                             User stopped moving a loop., 8         , (566;225)
395        , 400120937.416177    , 42        ,          User pressed the create image of model button., 0         , 
396        , 400120938.797754    , 43        ,                                   Image of model saved., 0         , 
397        , 400120938.797795    , 46        ,                 User notified that the image was saved., 0         , 
398        , 400120940.130282    , 47        ,                User confirmed that the image was saved., 0         , 
399        , 400120942.708657    , 1         ,      The application has been placed in the background., 0         , 
400        , 400120962.012528    , 69        ,                           There is internet connection!, 0         , 
401        , 400120962.015733    , 2         ,                       The application has been resumed., 0         , 
402        , 400120962.019028    , 5         ,                  User changed the device's orientation., 0         , Landscape right
403        , 400120962.50223     , 5         ,                  User changed the device's orientation., 0         , Face Up
404        , 400120974.566703    , 49        ,                     User pressed the save model button., 0         , 
405        , 400120974.821105    , 51        ,               The save model options window has opened., 0         , 
406        , 400120977.444362    , 52        ,          The save model options window has been closed., 0         , 
407        , 400120977.666609    , 34        ,                                  User begins scrolling., 0         , (0;0)
408        , 400120977.681547    , 35        ,                                    Window is scrolling., 0         , (1;0)
409        , 400120977.698198    , 35        ,                                    Window is scrolling., 0         , (3;1)
410        , 400120977.713308    , 35        ,                                    Window is scrolling., 0         , (4;2)
411        , 400120977.729277    , 35        ,                                    Window is scrolling., 0         , (6;3)
412        , 400120977.745732    , 35        ,                                    Window is scrolling., 0         , (7;5)
413        , 400120977.761301    , 35        ,                                    Window is scrolling., 0         , (8;5)
414        , 400120977.777625    , 35        ,                                    Window is scrolling., 0         , (10;6)
415        , 400120977.793712    , 35        ,                                    Window is scrolling., 0         , (12;8)
416        , 400120977.809244    , 35        ,                                    Window is scrolling., 0         , (14;10)
417        , 400120977.82525     , 35        ,                                    Window is scrolling., 0         , (17;11)
418        , 400120977.841741    , 35        ,                                    Window is scrolling., 0         , (22;14)
419        , 400120977.857396    , 35        ,                                    Window is scrolling., 0         , (25;15)
420        , 400120977.873252    , 35        ,                                    Window is scrolling., 0         , (27;17)
421        , 400120977.889744    , 35        ,                                    Window is scrolling., 0         , (30;19)
422        , 400120977.905259    , 35        ,                                    Window is scrolling., 0         , (32;20)
423        , 400120977.921221    , 35        ,                                    Window is scrolling., 0         , (33;20)
424        , 400120977.937714    , 35        ,                                    Window is scrolling., 0         , (35;21)
425        , 400120977.953313    , 35        ,                                    Window is scrolling., 0         , (36;21)
426        , 400120977.969304    , 35        ,                                    Window is scrolling., 0         , (37;22)
427        , 400120978.161108    , 35        ,                                    Window is scrolling., 0         , (38;22)
428        , 400120978.321537    , 35        ,                                    Window is scrolling., 0         , (39;22)
429        , 400120978.353084    , 35        ,                                    Window is scrolling., 0         , (39;21)
430        , 400120978.369549    , 35        ,                                    Window is scrolling., 0         , (39;20)
431        , 400120978.385158    , 35        ,                                    Window is scrolling., 0         , (40;18)
432        , 400120978.401365    , 35        ,                                    Window is scrolling., 0         , (41;14)
433        , 400120978.417786    , 35        ,                                    Window is scrolling., 0         , (43;7)
434        , 400120978.433493    , 35        ,                                    Window is scrolling., 0         , (47;-2)
435        , 400120978.449371    , 35        ,                                    Window is scrolling., 0         , (49;-7)
436        , 400120978.46578     , 35        ,                                    Window is scrolling., 0         , (51;-10)
437        , 400120978.481005    , 35        ,                                    Window is scrolling., 0         , (52;-14)
438        , 400120978.497056    , 35        ,                                    Window is scrolling., 0         , (54;-16)
439        , 400120978.51374     , 35        ,                                    Window is scrolling., 0         , (56;-19)
440        , 400120978.529038    , 35        ,                                    Window is scrolling., 0         , (56;-21)
441        , 400120978.545013    , 35        ,                                    Window is scrolling., 0         , (58;-23)
442        , 400120978.561463    , 35        ,                                    Window is scrolling., 0         , (59;-25)
443        , 400120978.577016    , 35        ,                                    Window is scrolling., 0         , (60;-27)
444        , 400120978.593006    , 35        ,                                    Window is scrolling., 0         , (61;-28)
445        , 400120978.609585    , 35        ,                                    Window is scrolling., 0         , (61;-31)
446        , 400120978.625168    , 35        ,                                    Window is scrolling., 0         , (62;-31)
447        , 400120978.641034    , 35        ,                                    Window is scrolling., 0         , (63;-33)
448        , 400120978.688889    , 35        ,                                    Window is scrolling., 0         , (63;-34)
449        , 400120978.705453    , 35        ,                                    Window is scrolling., 0         , (64;-34)
450        , 400120978.960686    , 36        ,                                 User stopped scrolling., 0         , (64;-34)
451        , 400120978.964462    , 35        ,                                    Window is scrolling., 0         , (64;-33)
452        , 400120978.981086    , 35        ,                                    Window is scrolling., 0         , (64;-29)
453        , 400120978.997892    , 35        ,                                    Window is scrolling., 0         , (64;-25)
454        , 400120979.014547    , 35        ,                                    Window is scrolling., 0         , (64;-22)
455        , 400120979.031222    , 35        ,                                    Window is scrolling., 0         , (64;-19)
456        , 400120979.047869    , 35        ,                                    Window is scrolling., 0         , (64;-16)
457        , 400120979.06452     , 35        ,                                    Window is scrolling., 0         , (64;-14)
458        , 400120979.081183    , 35        ,                                    Window is scrolling., 0         , (64;-12)
459        , 400120979.097873    , 35        ,                                    Window is scrolling., 0         , (64;-10)
460        , 400120979.114525    , 35        ,                                    Window is scrolling., 0         , (64;-9)
461        , 400120979.131082    , 35        ,                                    Window is scrolling., 0         , (65;-8)
462        , 400120979.147857    , 35        ,                                    Window is scrolling., 0         , (65;-6)
463        , 400120979.181212    , 35        ,                                    Window is scrolling., 0         , (65;-5)
464        , 400120979.197829    , 35        ,                                    Window is scrolling., 0         , (65;-4)
465        , 400120979.214547    , 35        ,                                    Window is scrolling., 0         , (65;-3)
466        , 400120979.264527    , 35        ,                                    Window is scrolling., 0         , (65;-2)
467        , 400120979.314509    , 35        ,                                    Window is scrolling., 0         , (65;-1)
468        , 400120979.431058    , 35        ,                                    Window is scrolling., 0         , (65;0)
469        , 400120979.432432    , 37        ,                        Scrolling window stopped moving., 0         , (65;0)
470        , 400120980.258809    , 49        ,                     User pressed the save model button., 0         , 
471        , 400120980.269468    , 51        ,               The save model options window has opened., 0         , 
472        , 400120980.880912    , 50        ,           Redirecting to external application to save. , 0         , com.getdropbox.Dropbox